,seg,bu,platform,category,line,set,set id,cat 11
2102,MED,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Outcome-Driven,Cathena,Cathena - Neoflon Pro Safety,PH210400041276,
2103,MED,MDS,Advanced Access Devices,Midlines,PowerMidline,Custom,PH241020041015,
2104,MED,MDS,Vascular Care,Flush Devices -Conventional,PosiFlush Safescrub,Posiflush - SafeScrub,PH210210041451,
2105,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus VP LVP Sets,Burette,PH230600341058,
2106,MED,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Value-Driven,AngioCath - PlastiCath,Insyte N Vialon-E,PH210400041206,
2107,MED,MMS,Alaris System,Service,Alaris System Service Parts,Service Parts,PH230600141208,
2108,MED,MDS,Hypodermic Products,Conventional Hypodermic Products,Pharmacy Devices,SYR TIP CONNECTOR,PH210230041106,
2109,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus VP LVP Sets,Blood,PH230600341057,
2110,MED,PS,Prefillable Systems,Others,Other,Other,PH210310041000,
2111,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,Max+_Non-specialty,PH241020041060,
2112,MED,MDS,Vascular Prep,Securement,Statlock - IV,IV Valve/Extension Set Kits,PH230205241485,
2113,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,BD Recycleen,XL \ Large Sharps Collectors,PH210240041378,
2114,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Full_Non-specialty,PH241020041284,
2115,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,Huber Plus_Standalone,PH231040041024,
2116,MED,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Advanced Non-ARD,General,PH230110041003,
2117,MED,MDS,Advanced Access Devices,PICC Other,Introducers,Introducers,PH241020041261,
2118,MED,MMS,CME,IV Pump Delivery,CME LVP Sets,TPN,PH230600441131,
2119,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus GW LVP Sets,Oncology,PH230600341038,
2120,MED,MDS,Advanced Access Devices,PICC,Groshong PICC,Basic_Non-specialty,PH241020041076,
2121,MED,MDS,Hazardous Drug Solutions,Texium Systems,Texium Accessories,ACCESSORIES,PH230600141155,
2122,MED,MMS,Alaris System,IV Pump Delivery,MSIII LVP Sets,Primary Admin,PH230600141153,
2123,MED,MDS,Advanced Access Devices,Midlines,PowerMidline,Basic,PH241020041047,
2124,MED,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,Sideport Extension Sets,PH230100041014,
2125,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus GW LVP Sets,Blood,PH230600341035,
2126,MED,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,Trifuse Extension Sets,PH230100041022,
2127,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,Sentrinex_Standalone,PH231040041035,
2128,MED,MDS,Gravity and Syringe Delivery,GSD Accessories,GSD Accessories - Specialty Non-Chemo,Respiratory,PH230100041181,
2129,MED,MDS,Hypodermic Products,Resuse Prevention Hypodermic Products,Needle Hub Cutter,Hub Cutter MLNG,PH210230041124,
2130,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Max+_Non-specialty,PH241020041341,
2131,MED,MDS,Advanced Access Devices,Midlines,Provena,Max Barrier,PH241020041054,
2132,MED,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Specialty Non-Chemo,General,PH230100041203,
2133,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Chemotherapy Waste Collectors,Patient Room Products,PH210240041382,
2134,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,Max+_SOLO FT,PH241020041363,
2135,MED,MDS,Vascular Prep,Securement,Statlock - Other,Statlock - Epidural,PH230205241493,
2136,MED,MDS,Gravity and Syringe Delivery,GSD Extension Sets,GSD Extension Sets - Specialty Chemo,Chemotherapy,PH230100041189,
2137,MED,MMS,CME,POC Systems,CME Accessories,Infusion Accessories CME,PH230600441110,
2138,MED,MMS,CME,IV Pump Delivery,CME LVP Sets,Blood,PH230600441099,
2139,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus SE LVP Sets,Blood,PH230600341043,
2140,MED,PS,Prefillable Systems,Stopper,Stopper High Tier,TSCF/TCF PremiumCoat Visio,PH210310041150,
2141,MED,MDS,Advanced Access Devices,Dialysis Access,Acute Dialysis,Niagara,PH241020041320,
2142,MED,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Basic,Pediatrics,PH230100041199,
2143,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus CC Syringe Sets,Blood,PH230600341022,
2144,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Max+_Non-specialty,PH241020041289,
2145,MED,MDS,Advanced Access Devices,Dialysis Access,Acute Dialysis,Niagara Slim Cath,PH241020041319,
2146,MED,MDS,ISD OEM,GSD OEM,GSD OEM SmarSite Bag,SmartSite Bag,PH230120041001,
2147,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus VP LVP Sets,Primary Admin,PH230600341061,
2148,MED,MDS,Advanced Access Devices,Midlines,Poly Midline,Custom,PH241020041024,
2149,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia - Kits and Sets,Durasafe CSE Mini Kits,PH210700041296,
2150,MED,PS,PS Services,PFS,PFS Services Testing,Others,PH210350041004,
2151,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus GW LVP Sets,Primary Admin,PH230600341040,
2152,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Sharps Accessories,Trolleys,PH210240041405,
2153,MED,MMS,CME,IV Pump Delivery,CME Syringe Sets,CME Syringe Sets,PH230600441127,
2154,MED,MDS,Hypodermic Products,Conventional Hypodermic Products,3pc Conventional Small - SYRINGE ONLY,2CC SYRINGES ONLY,PH210230041041,
2155,MED,MMS,Alaris System,IV Pump Delivery,MSIII LVP Sets,Half-No Drip Chamber,PH230600141152,
2156,MED,MMS,Alaris System,IV Pump Delivery,Alaris System LVP Sets,Epidural,PH230600141131,
2157,MED,MDS,Peripherally Inserted Intravenous Catheters,PIVC - Non-Product,PIVC Non Product,PIVC Non Product,PH210400041254,
2158,MED,MDS,Anesthesia Systems,Other Anesthesia Products,Bonanno Tray,Bonanno Tray,PH210700041326,
2159,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus GW LVP Sets,Filters,PH230600341047,
2160,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia Trays - Conventional,Epidural Trays,PH210700041310,
2161,MED,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Basic,Veterinary,PH230100041200,
2162,MED,MDS,Advanced Access Devices,PICC Other,Introducers-Safety,Introducers-Safety,PH241020041262,
2163,MED,MDS,Advanced Access Devices,Dialysis Access,Acute Dialysis,Duoglide,PH241020041325,
2164,MED,MDS,Advanced Access Devices,Midlines,PowerGlide ST,Full,PH241020041016,
2165,MED,MDS,Advanced Access Devices,Midlines,PowerMidline,Full,PH241020041053,
2166,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Max+_SOLO FT,PH241020041342,
2167,MED,MDS,Gravity and Syringe Delivery,GSD Accessories,GSD SmartSite Bag,SmartSite Bag,PH230110041002,
2168,MED,MDS,Vascular Prep,Securement,Statlock - Other,Statlock - Dialysis,PH230205241492,
2169,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,CK_Non-specialty,PH241020041296,
2170,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,Port Accessories,PH241020041116,
2171,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,Max_Non-specialty,PH241020041058,
2172,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,SafeStep_Custom,PH241020041122,
2173,MED,MDS,Advanced Access Devices,PICC,Provena 5FR TL,Max+_Non-specialty,PH241020041071,
2174,MED,MDS,Advanced Access Devices,Dialysis Access,Acute Dialysis,Trialysis Slim,PH241020041317,
2175,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Custom,PH241020041119,
2176,MED,PS,Prefillable Systems,Others,Other Pharma,Syringe,PH210310041004,
2177,MED,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,Non-PVC Extension Sets,PH230100041009,
2178,MED,MDS,Hypodermic Products,Safety Hypodermic Products,SafetyGlide - COMBOS,10ml,PH210230041181,
2179,MED,MDS,Vascular Prep,Securement,Statlock - Other,Statlock - Other,PH230205241494,
2180,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,PowerPICC Solo,PH241020041343,
2181,MED,MMS,Alaris System,POC Systems,Alaris System LVP Pump,Groshong PICC,PH230600141226,
2182,MED,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,Quadfuse Extension Sets,PH230100041013,
2183,MED,MDS,Hazardous Drug Solutions,Pharmacy Solutions,All Other Pharmacy Solutions,All Other Pharmacy Solutions,PH212600041352,
2184,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia Trays - Conventional,CSE Trays,PH210700041308,
2185,MED,MDS,Hypodermic Products,Conventional Hypodermic Products,Hypodermic Non Product,Conv Hypo Adj/Exp,PH210230041094,
2186,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,ISO Med Prep (Blunt Needles-Filter Straw),ISO Med Prep (Blunt Needles-Filter Straw),PH210700041353,
2187,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,MDS - MedStation,PH230500141000,
2188,MED,MDS,Advanced Access Devices,Midlines,PowerMidline,MB+,PH241020041018,
2189,MED,MDS,Advanced Access Devices,PICC,Groshong PICC,Groshong PICC,PH241020041086,
2190,MED,MMS,Alaris System,Service,Alaris System Service Parts,Other,PH230600141202,
2191,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Max_SOLO FT,PH241020041313,
2192,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus SE LVP Sets,Filters,PH230600141151,
2193,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,Port Accessories_Standalone,PH231040041020,
2194,MED,MMS,Alaris System,POC Systems,Alaris System PC Unit,PCU 8015,PH230600141164,
2195,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,CK_Non-specialty,PH241020041056,
2196,MED,MMS,Alaris System,POC Systems,Alaris System LVP Pump License,Guardrails software,PH230600141162,
2197,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Basic_SV,PH241020041008,
2198,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Max_SOLO HF,PH241020041340,
2199,MED,MDS,Advanced Access Devices,Midlines,Provena,Custom,PH241020041052,
2200,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Max+_Provena FT,PH241020041290,
2201,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,Max_Non-specialty,PH241020041362,
2202,MED,MDS,Advanced Access Devices,PICC,Provena 5FR TL,Max_Non-specialty,PH241020041348,
2203,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Basic_HF,PH241020041006,
2204,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Max_FT,PH241020041286,
2205,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Radiology Products,Non-Sterile Multi-purpose Needles,PH210700041290,
2206,MED,MDS,IV Access,IVA Extension Sets - Other,IVA Extension Sets - Other,ASV Extension Sets,PH230100041003,
2207,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus Syringe,Syringe,PH230600341056,
2208,MED,MMS,CME,Service,CME Service,Serv Lab/Fixed Price,PH230600441116,
2209,MED,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Specialty Chemo,Chemotherapy,PH230100041201,
2210,MED,MDS,Advanced Access Devices,PICC,Groshong PICC,Full_NXT Clear,PH241020041081,
2211,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Sharps Accessories,Patient Room Products,PH210240041403,
2212,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,IR_Non-specialty,PH241020041063,
2213,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_APPAS,PH241020041115,
2214,MED,MDS,Gravity and Syringe Delivery,GSD Accessories,GSD Accessories - Specialty Non-Chemo,Urology/Irrigation,PH230100041182,
2215,MED,MMS,Alaris System,POC Systems,Alaris System Systems Manager,Server Applications,PH230600141215,
2216,MED,MMS,Alaris System,IV Pump Delivery,MSIII LVP Sets,Blood,PH230600141148,
2217,MED,MDS,IV Access,IVA MaxPlus,IVA Extension Sets - MaxPlus,MaxPlus Opaque,PH230100041213,
2218,MED,MDS,Advanced Access Devices,PICC,PowerPICC,CK_HF,PH241020041275,
2219,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,SUP - Supply station,PH230500141000,
2220,MED,MDS,Advanced Access Devices,Midlines,PowerGlide ST,Basic,PH241020041013,
2221,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,CK_Non-specialty,PH241020041349,
2222,MED,MDS,Advanced Access Devices,Midlines,Per-Q-Cath,Custom,PH241020041031,
2223,MED,MDS,Vascular Prep,Dressing,Securis,Securis,PH230205241499,
2224,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Radiology Products,Sterile Multi-purpose Needles,PH210700041293,
2225,MED,MDS,Hypodermic Products,Conventional Hypodermic Products,Pharmacy Devices,CORNWALL SYRINGES,PH210230041097,
2226,MED,MMS,Alaris System,POC Systems,Alaris System PC Unit License,Guardrails software,PH230600141168,
2227,MED,MDS,Advanced Access Devices,Midlines,PowerGlide ST,Max Barrier,PH241020041049,
2228,MED,MMS,Alaris System,IV Pump Delivery,Alaris System LVP Sets,Half-No Drip Chamber,PH230600141133,
2229,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Sharps Accessories,ACCESSORIES,PH230300041747,
2230,MED,MDS,Advanced Access Devices,PICC,Provena Solo 4FR DL / 3FR SL,Max_Non-specialty,PH241020041068,
2231,MED,MDS,Advanced Access Devices,PICC,PerqCath / Poly RAD / Hohn,PerqCath / Poly RAD / Hohn,PH241020041087,
2232,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,Full_Non-specialty,PH241020041057,
2233,MED,MMS,Alaris Plus,POC Systems,Alaris Plus CC Nexus Pump,CC Nexus-S,PH230600341147,
2234,MED,MDS,Advanced Access Devices,PICC,Provena 5FR TL,CK_Non-specialty,PH241020041345,
2235,MED,MDS,IV Access,IVA Accessories,IVA Accessories - Other Accessories,Vial Access Device,PH230100041211,
2236,MED,PS,PS Safety,Demo Kit,Ultrasafe,Passive Plunger Rod Color,PH210330041195,
2237,MED,MDS,Anesthesia Systems,Anesthesia Systems - HCW Safety,Needles w/ Safety Anesthesia Connectors,Safety SAC Slip SYR,PH210700041356,
2238,MED,MDS,Advanced Access Devices,PICC,PowerPICC,IR_FT,PH241020041091,
2239,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus SE LVP Sets,Burette,PH230600341044,
2240,MED,PS,SAIS,Others,Operating expenses SAIS,Operating expenses SAIS,PH210320041150,
2241,MED,MDS,Advanced Access Devices,PICC,PowerPICC,IR_SV,PH241020041094,
2242,MED,PS,PS Services,PFS,PFS Services RA,Others,PH210350041001,
2243,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus GW LVP Sets,Burette,PH230600341036,
2244,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,IR_SOLO FT,PH241020041097,
2245,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_Custom,PH241020041114,
2246,MED,MMS,Alaris System,Service,Alaris System Service Parts,Support Materials,PH230600141209,
2247,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Max_SV,PH241020041288,
2248,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Full_SOLO HF,PH241020041303,
2249,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia Trays - Conventional,Pain Management Trays,PH210700041314,
2250,MED,PS,PS Services,Other Services,Other Services filling and assembly,Others,PH210350041010,
2251,MED,MDS,Advanced Access Devices,PICC,Provena Solo 4FR DL / 3FR SL,IR_Non-specialty,PH241020041066,
2252,MED,MMS,CME,POC Systems,CME Syringe Pumps,CME T34 series,PH230600441109,
2253,MED,MMS,Alaris Plus,DI Inst,Alaris Plus Accessories - DI Inst,Legacy Inst,PH230600341087,
2254,MED,MDS,Vascular Prep,Skin Prep,Persist,Persist,PH230205241462,
2255,MED,MDS,Advanced Access Devices,Midlines,Provena,Full,PH241020041039,
2256,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Full_SV,PH241020041285,
2257,MED,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Accessories,Site Rite 8 Accessories,PH241030041023,
2258,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,RMT- Remote w temp control,PH230500141000,
2259,MED,MMS,Alaris Plus,POC Systems,Alaris Plus GH Pump,GH,PH230600341072,
2260,MED,MMS,Alaris Plus,Service,Alaris Plus Service Parts,SE,PH230600341090,
2261,MED,MDS,MDS Direct Non-Allocated,DO NOT USE - MDS Placeholder for data entry error,DO NOT USE - MDS Placeholder for data entry error,DO NOT USE - MDS Placeholder for data entry error,PH242100041000,
2262,MED,MDS,Gravity and Syringe Delivery,GSD Primary Sets,GSD Primary Sets - Specialty Non-Chemo,ICU,PH230100041204,
2263,MED,MDS,Hazardous Drug Solutions,Rapid Detection,Collection Kits,Collection Kits,PH212600041363,
2264,MED,MDS,Advanced Access Devices,PICC,Provena 5FR TL,IR_Non-specialty,PH241020041347,
2265,MED,MDS,Advanced Access Devices,Midlines,Groshong,Basic,PH241020041038,
2266,MED,MDS,Advanced Access Devices,Midlines,Provena,BasicCE,PH241020041123,
2267,MED,MMS,Alaris System,POC Systems,Alaris System Accessories - POC,ACCESSORIES,PH230300041895,
2268,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,RCRA Waste Collectors,Multi-use One Piece,PH210240041398,
2269,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,PAS - Pyxis Anesthesia,PH230500141000,
2270,MED,MDS,Advanced Access Devices,Midlines,PowerGlide Pro Cue,Full,PH241020041025,
2271,MED,MDS,Advanced Access Devices,Midlines,PowerGlide Pro RT,IntermediateCE,PH241020041044,
2272,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc_Custom,PH241020041120,
2273,MED,MDS,Hazardous Drug Solutions,Facilimix,Facilimix,Facilimix,PH212600041384,
2274,MED,PS,PS Services,Other Services,Other Services Testing,Others,PH210350041009,
2275,MED,MMS,CME,POC Systems,CME BODYGARD C VISION,Drug Infusion,PH230600441112,
2276,MED,MMS,Alaris System,Service,Alaris System Service Parts,Directions for Use (DFU),PH230600141192,
2277,MED,MMS,Alaris System,POC Systems,Alaris System Syringe Pump,Drug Infusion,PH230600141176,
2278,MED,MMS,IV Solutions,IV Fluids,IV Fluids - FreeFlex,Sterile Water,PH230100041174,
2279,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,Pharmaceutical Waste Collectors,Multi-use One Piece,PH210240041393,
2280,MED,MDS,Advanced Access Devices,PICC,Provena Solo 4FR DL / 3FR SL,CK_Non-specialty,PH241020041065,
2281,MED,MMS,Alaris Plus,POC Systems,Alaris Plus PK Nexus Pump,PK Nexus,PH230600341157,
2282,MED,MMS,Alaris Plus,POC Systems,Alaris Plus GP Nexus Pump,GP Nexus,PH230600341149,
2283,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,IR_SOLO HF,PH241020041098,
2284,MED,MDS,Advanced Access Devices,Midlines,Provena,FullCE,PH241020041111,
2285,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,CK_FT,PH241020041294,
2286,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,MiniLoc_APPAS,PH241020041113,
2287,MED,PS,PS Services,ADDS,ADDS Services MA,Others,PH210350041006,
2288,MED,MDS,Hypodermic Products,Safety Hypodermic Products,Integra - SYRINGE ONLY,Syringe Only,PH210230041168,
2289,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,Max_Small Patient,PH241020041059,
2290,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,EZ Huber_Standalone,PH231040041018,
2291,MED,MDS,Advanced Access Devices,Midlines,PowerMe,Y Connection,PH241020041105,
2292,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia Trays - Conventional,Other,PH210700041313,
2293,MED,MDS,Anesthesia Systems,Other Anesthesia Products,Other Anesthesia Products,Spinal Introducer-SSU&BNS,PH210700041334,
2294,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,IR_Non-specialty,PH241020041074,
2295,MED,MMS,Alaris Plus,POC Systems,Alaris Plus GP Pump,GP,PH230600341073,
2296,MED,MMS,Alaris System,POC Systems,Alaris System Syringe License,Guardrails software,PH230600141175,
2297,MED,MMS,Alaris System,POC Systems,Alaris System PC Unit License,Guardrails software,PH230600141169,
2298,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc EZ_Standalone,PH241020041005,
2299,MED,MDS,Advanced Access Devices,Midlines,PowerGlide Pro RT,Custom,PH241020041042,
2300,MED,MDS,Advanced Access Devices,PICC,Provena 5FR TL,Full_Non-specialty,PH241020041346,
2301,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus CC Syringe Sets,Primary Admin-15mcrn,PH230600341025,
2302,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Full_HF,PH241020041280,
2303,MED,MDS,Anesthesia Systems,Other Anesthesia Products,Other Anesthesia Products,Sterile Catheter&TBA,PH210700041335,
2304,MED,MDS,Advanced Access Devices,PICC,PowerPICC,CK_FT,PH241020041009,
2305,MED,MDS,Anesthesia Systems,Anesthesia Systems - HCW Safety,Needles w/ Safety Anesthesia Connectors,Spinal Needle w/ SAC,PH210700041322,
2306,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia - Kits and Sets,Epidural,PH210700041297,
2307,MED,MDS,Advanced Access Devices,PICC,PowerPICC,TBD_TBD (Power PICC),PH241020041291,
2308,MED,MDS,Advanced Access Devices,Midlines,PowerGlide Pro Cue,Basic,PH241020041051,
2309,MED,MMS,CME,POC Systems,CME NIKI pumps,NIKI,PH230600441128,
2310,MED,MMS,Alaris System,POC Systems,Alaris System PCA Pump,Drug Infusion,PH230600141171,
2311,MED,MDS,Advanced Access Devices,Midlines,PowerMe,S Connection,PH241020041104,
2312,MED,MDS,Advanced Access Devices,Dialysis Access,Acute Dialysis,Flexxicon,PH241020041318,
2313,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Regional Anesthesia Trays - Conventional,Spinal Trays (Safety Container),PH210700041317,
2314,MED,MMS,Medbank,Medbank,Medbank - Other,Medbank - Other,PH230500841000,
2315,MED,MDS,Vascular Access Technologies,Sherlock,Sherlock Sensors - ISALES,Sherlock Sensors,PH241030041022,
2316,MED,MMS,Alaris Plus,DI Inst,Alaris Plus Accessories - DI Inst,Stands,PH230600341004,
2317,MED,MMS,IV Prep,BD IV Prep,IV Prep - Other,IV Prep - Other,PH214200041003,
2318,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus SE LVP Sets,Syringe Adapter,PH230600341052,
2319,MED,MMS,Pyxis Inventory Connect,Pyxis Inventory Connect,Pyxis Inventory Connect - Other,Pyxis Inventory Connect software,PH214300041000,
2320,MED,MDS,Anesthesia Systems,Anesthesia Systems - Conventional,Radiology Products,Non-Sterile Disposable Needles,PH210700041289,
2321,MED,MDS,Advanced Access Devices,PICC,Provena Solo 4FR DL / 3FR SL,Full_Non-specialty,PH241020041099,
2322,MED,MMS,Alaris System,Software,Alaris System SMS,POC Applications,PH230600141240,
2323,MED,MMS,Alaris Plus,POC Systems,Alaris Plus GW Pump,GW 800,PH230600341074,
2324,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Basic_SOLO HF,PH241020041293,
2325,MED,MMS,Alaris Plus,POC Systems,Alaris Plus CC Pump,CC,PH230600341066,
2326,MED,MDS,Advanced Access Devices,Port Access,Port Access Needles,PowerLoc Max_Amanda Port Stabilizer,PH241020041117,
2327,MED,MDS,Advanced Access Devices,PICC,PowerPICC Solo,Full_SOLO FT,PH241020041302,
2328,MED,PS,PS Services,ADDS,ADDS Services RA,Others,PH210350041005,
2329,MED,MMS,CME,CME - PC Adjustment,CME - PC Adjustment,CME - PC Adjustment,PH230600441122,
2330,MED,MDS,Advanced Access Devices,PICC,Provena Solo 4FR DL / 3FR SL,Max_Small Patient,PH241020041069,
2331,MED,MMS,Alaris System,POC Systems,Alaris System EtCO2,Monitoring,PH230600141173,
2332,MED,MDS,Advanced Access Devices,PICC,PowerPICC,IR_HF,PH241020041092,
2333,MED,MMS,CME,POC Systems,CME VET Pumps,Drug Infusion,PH230600441130,
2334,MED,MMS,Alaris Plus,POC Systems,Alaris Plus PK Pump,PK,PH230600341112,
2335,MED,MDS,Advanced Access Devices,Midlines,PowerGlide Pro RT,Max Barrier,PH241020041045,
2336,MED,MDS,Advanced Access Devices,Midlines,Provena,Basic,PH241020041034,
2337,MED,MMS,Alaris Plus,POC Systems,Alaris Plus Docking Station,AGW BASE-02,PH230600341068,
2338,MED,MDS,Gravity and Syringe Delivery,GSD Accessories,GSD Accessories - Other Add-on,Pediatrics,PH230100041177,
2339,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,Max_Small Patient,PH241020041075,
2340,MED,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Consoles - ISALES,Site Rite 8 Consoles,PH241030041002,
2341,MED,MMS,Alaris System,POC Systems,Alaris System PCA License,Guardrails software,PH230600141170,
2342,MED,MMS,Alaris Plus,IV Pump Delivery,Alaris Plus SE LVP Sets,Primary Admin,PH230600341019,
2343,MED,MMS,ROWA Hospital,ROWA Hospital,ROWA Hospital - Other,ROWA Hospital - Other,PH230500641005,
2344,MED,MDS,Advanced Access Devices,PICC,Provena Solo 5FR TL,Full_Non-specialty,PH241020041356,
2345,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Max_HF,PH241020041095,
2346,MED,MMS,Parata,Parata,Parata - Other,Parata - Other,PH230501141000,
2347,MED,MDS,Vascular Access Technologies,Site-Rite,Site-Rite Probes,Site Rite 8 Probes,PH241030041004,
2348,MED,MMS,Alaris Plus,POC Systems,Alaris Plus VP Pump,VP,PH230600341077,
2349,MED,MDS,Advanced Access Devices,PICC Other,PICC Accessories,Radstic,PH241020041267,
2350,MED,MDS,Advanced Access Devices,PICC,Groshong PICC,Full_NXT,PH241020041080,
2351,MED,MDS,Advanced Access Devices,PICC,Groshong PICC,Full_Non-specialty,PH241020041079,
2352,MED,MDS,Advanced Access Devices,PICC,PowerPICC,Full_FT,PH241020041279,
2353,MED,MDS,Hazardous Drug Solutions,Rapid Detection,Test Cartridges,Test Cartridges,PH212600041365,
2354,MED,MMS,Alaris Plus,Service,Alaris Plus Service Parts,Directions for Use (DFU),PH230600341085,
2355,MED,MDS,Sharps Disposal Systems,Sharps Disposal Systems,BD Recycleen,Multi-use One Piece,PH210240041376,
2356,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,SCB - Scrub,PH230500141000,
2357,MED,MMS,Pyxis Med,Pyxis Med,Pyxis Med - Other,CNS-Consoles,PH230500141000,
2358,MED,MDS,Advanced Access Devices,PICC,Provena 4FR DL / 3FR SL,IR_Small Patient,PH241020041064,
2359,MED,MMS,Alaris System,IV Pump Delivery,MSIII LVP Sets,Filters,PH240113741081,
